,Surface Displacement,Displacement Into Surface,Load On Sample,Modulus,Stiffness^2/Load,Hardness,Row Number,Contact Depth,Contact Area,Time,Unnamed: 10
17,16148.079553475625,838.9648619246357,44.75614667504236,210.54467073298778,15127.730083694592,2.9683759514200805,0.0,798.1704455654989,15077654.383243095,167.18800000013525,17.0
18,16393.116359240907,929.2652061395272,60.406008789170926,267.9771280788153,20438.66178034312,3.261241576395955,0.0,888.491977208891,18522396.263550177,170.57400000015141,18.0
19,16909.28169471897,857.4445086624161,46.61017466796607,205.8188282201503,14554.453863235618,2.9701439979127597,0.0,815.001743390205,15692900.64748407,174.24600000016895,19.0
20,17664.151397541653,974.6764834720993,26.76940546125547,165.02211974935025,23300.570954139417,1.2724435566275112,0.0,949.2552075345496,21037794.03167021,178.09800000018734,20.0
21,17304.19453634536,845.9936603239213,27.58266977131381,181.22985940286836,19968.55113511937,1.7448333407313774,0.0,818.1192212961699,15808197.337490154,180.90800000020076,21.0
22,16842.911983116504,946.6381974231721,67.33434562137938,263.34563336975856,18322.742650498876,3.537549235769408,0.0,901.1724490111396,19034179.069661584,183.61000000021366,22.0
24,16649.10176580136,956.7200813228014,67.67690074776749,393.9081345391267,35527.531839695344,3.388521811374918,0.0,923.986089035837,19972396.376668766,189.7100000002428,24.0
25,17221.11599862785,995.0749532382114,61.243840354770484,330.5240286536553,32668.580787716866,2.833838912938346,0.0,962.6015850031504,21611616.69251979,193.51000000026093,25.0
26,18051.866609940527,970.9717713610664,22.70079976566087,149.35677856199138,23000.887260151645,1.0831019638958053,0.0,947.4099126318982,20959060.663142417,197.59200000028042,26.0
27,16212.432600342532,901.6577206306646,46.413887878731515,287.11718465469346,28598.330872893122,2.600911262195939,1.0,871.4432566158941,17845240.84052927,210.39000000034153,27.0
28,15572.59308039379,960.1665244155139,57.909771741705185,267.3629457414212,22828.332722622512,2.9091461964789302,1.0,922.3919053816371,19906105.71988303,212.86000000035332,28.0
29,15294.620715305864,950.8076395359857,61.73418585925062,383.9864873611451,37224.99604125358,3.1150825593226608,1.0,920.264983882969,19817832.973477922,215.6220000003665,29.0
30,15409.403646482195,977.2290031504075,61.107026870974416,392.5971180098352,41167.19183055708,2.910073715503824,1.0,948.3334362850572,20998446.377979435,218.83000000038183,30.0
31,15814.281783422059,975.3195312302767,59.18223718832474,436.99533856297745,49728.30768962344,2.8120494784787193,1.0,949.4460353248716,21045944.47617669,222.33600000039857,31.0
32,16455.70756258993,1106.6757831687519,23.77298054927277,153.94517726872968,30124.332188534212,0.8720264257898886,1.0,1085.6067616407622,27261766.2105125,226.18200000041693,32.0
33,16510.192483773266,904.3177561372613,54.15723025607283,385.7317531553621,38880.74954864246,3.002410421797942,1.0,876.3265139642853,18037917.089177202,229.3600000004321,33.0
39,16092.739096155894,991.9916209663602,54.95066865026945,254.62988730234423,23826.76819808735,2.5767339258628454,1.0,955.9739866672733,21325705.420620278,244.04400000050222,39.0
40,16263.262981072003,910.1397181724866,24.140478564640254,161.13893606498027,21667.500415328832,1.3129171732331757,1.0,885.1057443192933,18386901.36499028,247.28200000051768,40.0
41,15810.758572556188,1151.5304862439675,46.448845122557465,197.15502895901838,25033.98145168756,1.606144245113724,1.0,1119.2244437089353,28919472.994947992,250.02000000053076,41.0
42,16838.34358070514,928.4879988557872,28.84106834110914,182.418783734558,23299.216367003,1.5122274009225267,1.0,902.1006184502694,19071912.282183748,254.20400000055074,42.0
